2025-04-19 02:11:41 root         INFO     Starting GetRecords Consumer
2025-04-19 02:11:41 botocore.credentials INFO     Found credentials in shared credentials file: /home/coder/.aws/credentials
2025-04-19 02:11:42 root         INFO     Read User Session {'session_id': 'a080cc53-cca3-412e-9dc4-a7e4b5c7e20c', 'customer_number': 139, 'city': 'Stavern', 'country': 'Norway', 'credit_limit': 59155, 'browse_history': [{'product_code': 'S24_3191', 'quantity': '4', 'in_shopping_cart': True}, {'product_code': 'S18_3136', 'quantity': '2', 'in_shopping_cart': True}, {'product_code': 'S12_1666', 'quantity': '7', 'in_shopping_cart': True}]} from Shard shardId-000000000000 at position 49662502041655539524013595689459632259184982794971381762
2025-04-19 02:11:42 root         INFO     Processed User Session {'session_id': 'a080cc53-cca3-412e-9dc4-a7e4b5c7e20c', 'customer_number': 139, 'city': 'Stavern', 'country': 'Norway', 'credit_limit': 59155, 'browse_history': [{'product_code': 'S24_3191', 'quantity': '4', 'in_shopping_cart': True}, {'product_code': 'S18_3136', 'quantity': '2', 'in_shopping_cart': True}, {'product_code': 'S12_1666', 'quantity': '7', 'in_shopping_cart': True}], 'processing_timestamp': datetime.datetime(2025, 4, 19, 2, 11, 42, 177612), 'overall_product_quantity': 13, 'overall_in_shopping_cart': 13, 'total_different_products': 3}
2025-04-19 02:11:42 root         INFO     Produced record 49662503229482431778552339086132890132157209641488482306 to Shard shardId-000000000000


2025-04-19 02:11:42 root         INFO     Read User Session {'session_id': '8376165c-d830-41cb-ae73-ef9e47d945e3', 'customer_number': 201, 'city': 'Bräcke', 'country': 'Sweden', 'credit_limit': 97285, 'browse_history': [{'product_code': 'S18_1589', 'quantity': '4', 'in_shopping_cart': True}]} from Shard shardId-000000000000 at position 49662502041655539524013595700439096552925057535317114882
2025-04-19 02:11:42 root         INFO     Processed User Session {'session_id': '8376165c-d830-41cb-ae73-ef9e47d945e3', 'customer_number': 201, 'city': 'Bräcke', 'country': 'Sweden', 'credit_limit': 97285, 'browse_history': [{'product_code': 'S18_1589', 'quantity': '4', 'in_shopping_cart': True}], 'processing_timestamp': datetime.datetime(2025, 4, 19, 2, 11, 42, 200447), 'overall_product_quantity': 4, 'overall_in_shopping_cart': 4, 'total_different_products': 1}
2025-04-19 02:11:42 root         INFO     Produced record 49662503229482431778552339086143770464533741304060837890 to Shard shardId-000000000000


2025-04-19 02:11:42 root         INFO     Read User Session {'session_id': 'e09aee18-139d-48f5-a51b-4dab5ca84f55', 'customer_number': 290, 'city': 'Frankfurt', 'country': 'Germany', 'credit_limit': 97831, 'browse_history': [{'product_code': 'S24_3969', 'quantity': '5', 'in_shopping_cart': True}, {'product_code': 'S10_1949', 'quantity': '6', 'in_shopping_cart': True}, {'product_code': 'S24_2300', 'quantity': '5', 'in_shopping_cart': True}, {'product_code': 'S18_3136', 'quantity': '8', 'in_shopping_cart': False}]} from Shard shardId-000000000000 at position 49662502041655539524013595704068291863408178440953659394
2025-04-19 02:11:42 root         INFO     Processed User Session {'session_id': 'e09aee18-139d-48f5-a51b-4dab5ca84f55', 'customer_number': 290, 'city': 'Frankfurt', 'country': 'Germany', 'credit_limit': 97831, 'browse_history': [{'product_code': 'S24_3969', 'quantity': '5', 'in_shopping_cart': True}, {'product_code': 'S10_1949', 'quantity': '6', 'in_shopping_cart': True}, {'product_code': 'S24_2300', 'quantity': '5', 'in_shopping_cart': True}, {'product_code': 'S18_3136', 'quantity': '8', 'in_shopping_cart': False}], 'processing_timestamp': datetime.datetime(2025, 4, 19, 2, 11, 42, 215239), 'overall_product_quantity': 24, 'overall_in_shopping_cart': 16, 'total_different_products': 4}
2025-04-19 02:11:42 root         INFO     Produced record 49662503229482431778552339086167948980926033887554961410 to Shard shardId-000000000000


2025-04-19 02:11:42 root         INFO     Read User Session {'session_id': '5e3ccfaa-2e91-4de5-b514-b4b4ec8201b9', 'customer_number': 292, 'city': 'Graz', 'country': 'Austria', 'credit_limit': 119353, 'browse_history': [{'product_code': 'S24_3856', 'quantity': '3', 'in_shopping_cart': True}, {'product_code': 'S32_2206', 'quantity': '1', 'in_shopping_cart': False}]} from Shard shardId-000000000000 at position 49662502041655539524013595708599345835323813741713162242
2025-04-19 02:11:42 root         INFO     Processed User Session {'session_id': '5e3ccfaa-2e91-4de5-b514-b4b4ec8201b9', 'customer_number': 292, 'city': 'Graz', 'country': 'Austria', 'credit_limit': 119353, 'browse_history': [{'product_code': 'S24_3856', 'quantity': '3', 'in_shopping_cart': True}, {'product_code': 'S32_2206', 'quantity': '1', 'in_shopping_cart': False}], 'processing_timestamp': datetime.datetime(2025, 4, 19, 2, 11, 42, 232976), 'overall_product_quantity': 4, 'overall_in_shopping_cart': 3, 'total_different_products': 2}
2025-04-19 02:11:42 root         INFO     Produced record 49662503229482431778552339086183665016581024066826141698 to Shard shardId-000000000000


2025-04-19 02:11:42 root         INFO     Read User Session {'session_id': 'b35d47e1-4f40-4b7b-a512-0f0a70d1a6f6', 'customer_number': 237, 'city': 'Manchester', 'country': 'UK', 'credit_limit': 109563, 'browse_history': [{'product_code': 'S24_1578', 'quantity': '5', 'in_shopping_cart': True}, {'product_code': 'S24_2840', 'quantity': '1', 'in_shopping_cart': True}, {'product_code': 'S18_1662', 'quantity': '6', 'in_shopping_cart': False}, {'product_code': 'S12_3990', 'quantity': '5', 'in_shopping_cart': False}]} from Shard shardId-000000000000 at position 49662502041655539524013595709669245185682761729559232514
2025-04-19 02:11:42 root         INFO     Processed User Session {'session_id': 'b35d47e1-4f40-4b7b-a512-0f0a70d1a6f6', 'customer_number': 237, 'city': 'Manchester', 'country': 'UK', 'credit_limit': 109563, 'browse_history': [{'product_code': 'S24_1578', 'quantity': '5', 'in_shopping_cart': True}, {'product_code': 'S24_2840', 'quantity': '1', 'in_shopping_cart': True}, {'product_code': 'S18_1662', 'quantity': '6', 'in_shopping_cart': False}, {'product_code': 'S12_3990', 'quantity': '5', 'in_shopping_cart': False}], 'processing_timestamp': datetime.datetime(2025, 4, 19, 2, 11, 42, 261121), 'overall_product_quantity': 17, 'overall_in_shopping_cart': 6, 'total_different_products': 4}
2025-04-19 02:11:42 root         INFO     Produced record 49662503229482431778552339086203007829694858133621440514 to Shard shardId-000000000000


2025-04-19 02:11:42 root         INFO     Read User Session {'session_id': '4f091a89-3c6e-4428-b2e7-b701faf68896', 'customer_number': 348, 'city': 'Versailles', 'country': 'France', 'credit_limit': 52702, 'browse_history': [{'product_code': 'S32_3522', 'quantity': '2', 'in_shopping_cart': False}, {'product_code': 'S24_2011', 'quantity': '5', 'in_shopping_cart': False}, {'product_code': 'S12_2823', 'quantity': '7', 'in_shopping_cart': False}]} from Shard shardId-000000000000 at position 49662502041655539524013595710696832132355197627571109890
2025-04-19 02:11:42 root         INFO     Processed User Session {'session_id': '4f091a89-3c6e-4428-b2e7-b701faf68896', 'customer_number': 348, 'city': 'Versailles', 'country': 'France', 'credit_limit': 52702, 'browse_history': [{'product_code': 'S32_3522', 'quantity': '2', 'in_shopping_cart': False}, {'product_code': 'S24_2011', 'quantity': '5', 'in_shopping_cart': False}, {'product_code': 'S12_2823', 'quantity': '7', 'in_shopping_cart': False}], 'processing_timestamp': datetime.datetime(2025, 4, 19, 2, 11, 42, 283298), 'overall_product_quantity': 14, 'overall_in_shopping_cart': 0, 'total_different_products': 3}
2025-04-19 02:11:42 root         INFO     Produced record 49662503229482431778552339086228395271906765346290270210 to Shard shardId-000000000000


2025-04-19 02:11:42 root         INFO     Read User Session {'session_id': 'a50946d4-6eec-45e8-bb52-c9891f46ea4e', 'customer_number': 443, 'city': 'Los Angeles', 'country': 'USA', 'credit_limit': 100598, 'browse_history': [{'product_code': 'S18_2625', 'quantity': '2', 'in_shopping_cart': True}, {'product_code': 'S18_1342', 'quantity': '5', 'in_shopping_cart': True}, {'product_code': 'S24_3151', 'quantity': '4', 'in_shopping_cart': True}, {'product_code': 'S12_1099', 'quantity': '1', 'in_shopping_cart': True}, {'product_code': 'S700_3167', 'quantity': '10', 'in_shopping_cart': True}]} from Shard shardId-000000000000 at position 49662502041655539524013595711584183683952336403878117378
2025-04-19 02:11:42 root         INFO     Processed User Session {'session_id': 'a50946d4-6eec-45e8-bb52-c9891f46ea4e', 'customer_number': 443, 'city': 'Los Angeles', 'country': 'USA', 'credit_limit': 100598, 'browse_history': [{'product_code': 'S18_2625', 'quantity': '2', 'in_shopping_cart': True}, {'product_code': 'S18_1342', 'quantity': '5', 'in_shopping_cart': True}, {'product_code': 'S24_3151', 'quantity': '4', 'in_shopping_cart': True}, {'product_code': 'S12_1099', 'quantity': '1', 'in_shopping_cart': True}, {'product_code': 'S700_3167', 'quantity': '10', 'in_shopping_cart': True}], 'processing_timestamp': datetime.datetime(2025, 4, 19, 2, 11, 42, 308204), 'overall_product_quantity': 22, 'overall_in_shopping_cart': 22, 'total_different_products': 5}
2025-04-19 02:11:42 root         INFO     Produced record 49662503229482431778552339086257409491577516446483218434 to Shard shardId-000000000000


2025-04-19 02:11:42 root         INFO     Read User Session {'session_id': '0368a637-3bc0-4a49-85c1-fc7795b93586', 'customer_number': 351, 'city': 'Marseille', 'country': 'France', 'credit_limit': 7215, 'browse_history': [{'product_code': 'S10_4698', 'quantity': '8', 'in_shopping_cart': False}, {'product_code': 'S24_3969', 'quantity': '9', 'in_shopping_cart': False}, {'product_code': 'S18_3685', 'quantity': '8', 'in_shopping_cart': False}, {'product_code': 'S24_3432', 'quantity': '4', 'in_shopping_cart': False}, {'product_code': 'S18_4409', 'quantity': '9', 'in_shopping_cart': False}]} from Shard shardId-000000000000 at position 49662502041655539524013595713340752899852394450152062978
2025-04-19 02:11:42 root         INFO     Processed User Session {'session_id': '0368a637-3bc0-4a49-85c1-fc7795b93586', 'customer_number': 351, 'city': 'Marseille', 'country': 'France', 'credit_limit': 7215, 'browse_history': [{'product_code': 'S10_4698', 'quantity': '8', 'in_shopping_cart': False}, {'product_code': 'S24_3969', 'quantity': '9', 'in_shopping_cart': False}, {'product_code': 'S18_3685', 'quantity': '8', 'in_shopping_cart': False}, {'product_code': 'S24_3432', 'quantity': '4', 'in_shopping_cart': False}, {'product_code': 'S18_4409', 'quantity': '9', 'in_shopping_cart': False}], 'processing_timestamp': datetime.datetime(2025, 4, 19, 2, 11, 42, 331847), 'overall_product_quantity': 38, 'overall_in_shopping_cart': 0, 'total_different_products': 5}
2025-04-19 02:11:42 root         INFO     Produced record 49662503229482431778552339086268289823954048109055574018 to Shard shardId-000000000000


2025-04-19 02:11:42 root         INFO     Read User Session {'session_id': '42d9fd56-6e8e-4e3b-b832-a55a9c184190', 'customer_number': 287, 'city': 'Pasadena', 'country': 'USA', 'credit_limit': 143555, 'browse_history': [{'product_code': 'S12_4675', 'quantity': '5', 'in_shopping_cart': True}, {'product_code': 'S24_3856', 'quantity': '6', 'in_shopping_cart': False}, {'product_code': 'S700_3505', 'quantity': '2', 'in_shopping_cart': True}, {'product_code': 'S18_3482', 'quantity': '4', 'in_shopping_cart': False}]} from Shard shardId-000000000000 at position 49662502041655539524013595714034676320311192352347652098
2025-04-19 02:11:42 root         INFO     Processed User Session {'session_id': '42d9fd56-6e8e-4e3b-b832-a55a9c184190', 'customer_number': 287, 'city': 'Pasadena', 'country': 'USA', 'credit_limit': 143555, 'browse_history': [{'product_code': 'S12_4675', 'quantity': '5', 'in_shopping_cart': True}, {'product_code': 'S24_3856', 'quantity': '6', 'in_shopping_cart': False}, {'product_code': 'S700_3505', 'quantity': '2', 'in_shopping_cart': True}, {'product_code': 'S18_3482', 'quantity': '4', 'in_shopping_cart': False}], 'processing_timestamp': datetime.datetime(2025, 4, 19, 2, 11, 42, 350971), 'overall_product_quantity': 17, 'overall_in_shopping_cart': 7, 'total_different_products': 4}
2025-04-19 02:11:42 root         INFO     Produced record 49662503229482431778552339086282796933789423659152048130 to Shard shardId-000000000000


